day,min,max,dtr
1,-1.5,10.1,11.6
2,4.4,19,14.6
3,11.6,25.4,13.8
4,17.9,28.8,10.9
5,21.4,29.4,8
6,21.2,31.6,10.4
7,15.1,27.1,12
8,7.2,21.5,14.3
9,-0.1,12.3,12.4
10,6.1,21.9,15.8
11,11.8,25.1,13.3
12,15.8,26.9,11.1
13,20.7,29.8,9.1
14,21,30.7,9.7
15,15.6,26.1,10.5
16,6.3,20,13.7
17,1.8,13.2,11.4
18,5.3,18,12.7
19,12,22.6,10.6
20,17.9,26.8,8.9
21,22.6,30.5,7.9
22,21.8,32.7,10.9
23,16.8,27.3,10.5
24,8,21.8,13.8
25,-0.1,11.1,11.2
26,5,20.7,15.7
27,11.3,24.2,12.9
28,18.1,28.9,10.8
29,21.3,28.9,7.6
30,20.4,30,9.6
31,15.8,25.8,10
32,6.3,20.6,14.3
33,1.6,13.4,11.8
34,5.4,19.7,14.3
35,10.7,23,12.3
36,15.3,27.1,11.8
37,22.1,31,8.9
38,21.1,29.9,8.8
39,15.8,25.8,10
40,7.7,20.3,12.6
41,-0.4,11.8,12.2
42,4.7,18.1,13.4
43,12.1,24.8,12.7
44,17.8,27.2,9.4
45,19.8,28.4,8.6
46,18.8,27.2,8.4
47,15,27.1,12.1
48,5.9,19.7,13.8
49,-1.4,9.8,11.2
50,7.3,22.5,15.2
51,12.4,24.2,11.8
52,17,28.6,11.6
53,24.5,34.5,10
54,23.5,32.5,9
55,14.8,26.3,11.5
56,9,21.1,12.1
57,0.9,12.1,11.2
58,4.4,19.2,14.8
59,10.6,23.7,13.1
60,16.4,27.6,11.2
61,21.9,30.2,8.3
62,23.2,31.6,8.4
63,14.5,25.1,10.6
64,8.9,21.8,12.9
65,-0.1,9.9,10
66,4.1,16.6,12.5
67,11.9,25,13.1
68,18.9,27.1,8.2
69,21.8,30.5,8.7
70,22.6,31.1,8.5
71,15.2,27.2,12
72,8.3,20.3,12
73,0.5,13.3,12.8
74,6.3,19.2,12.9
75,12.5,23.5,11
76,17.7,28.9,11.2
77,22,30.2,8.2
78,22,31.1,9.1
79,14.6,25.5,10.9
80,6.4,19.8,13.4
81,1,13.9,12.9
82,11,21.8,10.8
83,13.2,24.7,11.5
84,17.5,25.7,8.2
85,22.1,29,6.9
86,22.2,29.7,7.5
87,17.8,28,10.2
88,11.3,21.9,10.6
89,0.5,12.6,12.1
90,7.4,20.5,13.1
91,11.6,23.8,12.2
92,17.8,28.5,10.7
93,21.6,29.6,8
94,22.1,30.1,8
95,19.2,27.4,8.2
96,8.5,19.7,11.2
97,-0.2,12.3,12.5
98,5.5,17.8,12.3
99,12.1,23,10.9
100,18.5,27.6,9.1
101,22.5,30.6,8.1
102,22.8,30.3,7.5
103,16,24.3,8.3
104,9.1,20.5,11.4
105,-0.1,11.7,11.8
106,7.1,21.2,14.1
107,14.5,25.7,11.2
108,18.9,27.6,8.7
109,22.9,30.5,7.6
110,21.7,30.7,9
111,16.4,27.2,10.8
112,10.9,21.1,10.2
113,2,14.7,12.7
114,8,20.8,12.8
115,12.9,23.6,10.7
116,17.2,27.5,10.3
117,22.1,29.5,7.4
118,21.6,27.6,6
119,16.2,25.5,9.3
120,7,17.8,10.8
121,1.2,11.6,10.4
122,7.9,18.8,10.9
123,13.3,24.9,11.6
124,18.1,26.2,8.1
125,20.3,27.1,6.8
126,21.2,27.8,6.6
127,16.9,25.5,8.6
128,7.6,19.9,12.3
129,-0.3,12.7,13
130,6.7,20.4,13.7
131,13.4,23.3,9.9
132,18.3,28.2,9.9
133,22.7,29.8,7.1
134,22.3,30.2,7.9
135,17.2,26.3,9.1
136,8.6,21.6,13
137,-0.3,11.4,11.7
138,7.7,20.6,12.9
139,12,24.1,12.1
140,18.9,28.1,9.2
141,22.3,29.3,7
142,22.3,29.6,7.3
143,18.7,26.9,8.2
144,9.3,20.2,10.9
145,0.2,12.4,12.2
146,7,17.8,10.8
147,13.8,24.5,10.7
148,18.5,27.9,9.4
149,21.4,27.1,5.7
150,23.1,31.6,8.5
151,15.3,25.7,10.4
152,11.6,23.7,12.1
153,2.1,13.1,11
154,6.5,18.9,12.4
155,13.7,24.8,11.1
156,18.8,28.2,9.4
157,21.7,28.4,6.7
158,23.4,30.7,7.3
159,18.5,25.7,7.2
160,11,20.7,9.7
161,2.5,13.9,11.4
162,8.1,21.2,13.1
163,13.2,25.1,11.9
164,17.9,26.8,8.9
165,23.6,31.6,8
166,21.7,30.3,8.6
167,18.1,27.9,9.8
168,11,21.9,10.9
169,0.9,12.4,11.5
170,6.5,19.1,12.6
171,12.9,25.2,12.3
172,18,28.3,10.3
173,20.8,28.9,8.1
174,21.7,30.4,8.7
175,17.1,27,9.9
176,10.5,22.4,11.9
177,1.3,9.9,8.6
178,5,16.4,11.4
179,12.8,24.6,11.8
180,19.1,29.4,10.3
181,23.2,30.8,7.6
182,25,32.1,7.1
183,19,27.5,8.5
184,10.1,20.5,10.4
185,-0.3,10.3,10.6
186,6.3,18.4,12.1
187,14.3,24.9,10.6
188,19.1,29.1,10
189,23.2,30,6.8
190,23,30,7
191,17.2,26.2,9
192,8.5,19.6,11.1
193,1.6,10.7,9.1
194,7.4,19.8,12.4
195,14.6,26.1,11.5
196,19.4,29.2,9.8
197,22.7,30.6,7.9
198,23.8,31.5,7.7
199,17.3,25.7,8.4
200,9.5,20.8,11.3
201,0.6,13.3,12.7
202,5.1,16.9,11.8
203,13.6,25.5,11.9
204,20.3,29.7,9.4
205,24.3,31.1,6.8
206,24.3,32.8,8.5
207,17.9,26.3,8.4
208,10.7,21.8,11.1
209,3.7,14.2,10.5
210,9.1,21.3,12.2
211,13.9,26.3,12.4
212,19.5,28.6,9.1
213,22.6,31.3,8.7
214,21.7,28.9,7.2
215,17.8,27.5,9.7
216,10.1,21.6,11.5
217,1.4,14.3,12.9
218,8.6,19.8,11.2
219,14,26.6,12.6
220,19.2,29.2,10
221,22,29.7,7.7
222,22.6,31,8.4
223,16.6,26.9,10.3
224,10.4,21.1,10.7
225,2.2,13.2,11
226,9,21.2,12.2
227,13.8,26.2,12.4
228,19.3,28.7,9.4
229,22.9,30.5,7.6
230,23.6,32.5,8.9
231,19,27,8
232,12.1,20.5,8.4
233,1.7,12.8,11.1
234,9.1,21.3,12.2
235,14.3,26.5,12.2
236,18.5,29.5,11
237,24.2,31.3,7.1
238,22.9,30.4,7.5
239,16.8,26.7,9.9
240,11.5,21.1,9.6
241,3.2,14.6,11.4
242,8.3,20.4,12.1
243,14.3,24.8,10.5
244,19.4,29,9.6
245,24.3,32.8,8.5
246,25.2,33.5,8.3
247,17.2,25.9,8.7
248,8.7,18.7,10
249,2.5,13.7,11.2
250,7.8,18.9,11.1
251,13.8,26.9,13.1
252,18.5,28.3,9.8
253,22.8,30.3,7.5
254,23.9,32.2,8.3
255,19.1,27.1,8
256,12.2,21.6,9.4
257,2.9,14.6,11.7
258,6.2,18.2,12
259,14.5,24.7,10.2
260,20.4,29.6,9.2
261,21.1,27.9,6.8
262,24.7,31.7,7
263,17.8,26.1,8.3
264,9.5,20,10.5
265,4.5,15.5,11
266,9.6,20.5,10.9
267,13,23,10
268,19.5,28.7,9.2
269,24.4,32.7,8.3
270,22.8,30,7.2
271,19.1,27.1,8
272,11.6,21.3,9.7
273,3.5,14,10.5
274,9.3,21.8,12.5
275,13.8,26,12.2
276,20.2,29.3,9.1
277,24.3,31.8,7.5
278,23.4,29.9,6.5
279,18.4,27.9,9.5
280,10.5,20.3,9.8
281,4.4,17.6,13.2
282,9,20.3,11.3
283,14.8,25.5,10.7
284,20.2,29.4,9.2
285,24,31.1,7.1
286,24.5,32.4,7.9
287,20.4,28.2,7.8
288,11.3,21.5,10.2
"			",,,
